Текст,Вопрос
Торговое название — это название под которым вас будут видеть пользователи приложения RuStore и сайта www.rustore.ru. Пожалуйста укажите название знакомое вашим пользователям или используемое вами для продвижения. Это поможет пользователям найти вас в каталоге RuStore.,Как можно выбрать торговое название для приложения в RuStore и какие критерии следует учитывать при выборе названия для продвижения приложения?
Мы можем попросить вас подтвердить ваши права на указанное торговое название. Регистрация прав не требуется однако в этом случае мы попросим вас гарантировать что использование данного торгового названия не нарушает права третьих лиц.,Какие требования предъявляются к выбору торгового названия для приложения в RuStore и какие последствия могут возникнуть при нарушении прав третьих лиц?
Юридическое название — это название вашей компании которое указано в её учредительных документах. Просим вас быть внимательными при заполнении этого поля так как мы будем проверять соответствие указанного здесь названия на основе предоставленных вами документов.,Какие требования предъявляются к выбору юридического названия для приложения в RuStore и какие последствия могут возникнуть при несоответствии указанного названия учредительным документам компании?
В блоке «Контактное лицо» укажите информацию о пользователе с которым мы сможем связаться если потребуется уточнить что-то относительно вашего аккаунта.,Как можно указать контактное лицо для связи в аккаунте RuStore Консоли и какие данные необходимо предоставить для контакта с представителем компании?
Информация в блоках «Номер телефона» и Email используется для внутренних коммуникаций с RuStore и не будет видна пользователям. В поле «Номер представителя» следует указать международный номер телефона.,"Какие данные необходимо указать в блоках «Номер телефона», «Email» и «Номер представителя» и для каких целей они используются в RuStore Консоли?"
Убедитесь что информация в поле «Налоговый или регистрационный номер» соответствует данным в учредительных документах.,Какие требования предъявляются к информации в поле «Налоговый или регистрационный номер» и какие последствия могут возникнуть при несоответствии указанных данных учредительным документам компании?
10. В блоке «Документы» приложите все требуемые документы на английском или на русском языке:,Какие документы необходимо приложить в блоке «Документы» при регистрации в RuStore Консоли и на каком языке должны быть предоставлены эти документы?
Поле «Ссылка на ваше приложение в альтернативных сторах» является обязательным. Если ваше приложение не представлено в каком-либо альтернативном сторе вы можете приложить ссылку на официальный сайт на котором размещено приложение.,"Как можно указать ссылку на приложение в альтернативных сторах или на официальный сайт, где оно размещено, и какие требования предъявляются к этому полю при регистрации в RuStore Консоли?"
учредительный документ подтверждающий что компания существует и зарегистрирована в своей юрисдикции например: бизнес-лицензия устав заверенный государственным органом свидетельство о регистрации и другие.,Какие документы подтверждают существование и регистрацию компании в своей юрисдикции и какие требования предъявляются к ним при регистрации в RuStore Консоли?
документ подтверждающий право подписи представителя например доверенность приказ о назначении устав и т.п. Данные представителя указанные в этом документе должны соответствовать информации в блоке «Контактное лицо» который вы заполнили выше;,Какие документы подтверждают право подписи представителя и какие требования предъявляются к ним при регистрации в RuStore Консоли?
документ подтверждающий право на использование доменного имени логотипа или товарного знака например: свидетельство о регистрации лицензионный договор согласие правообладателя и т.п. При отсутствии зарегистрированных прав необходимо предоставить письмо подтверждающее отсутствие зарегистрированных прав на логотип доменное имя товарные знаки и письмо-гарантию наличия незарегистрированных прав.,"Какие документы подтверждают право на использование доменного имени, логотипа или товарного знака и какие требования предъявляются к ним при регистрации в RuStore Консоли?"
Просим прикреплять нотариально заверенные переводы на английский или русский язык.,Какие требования предъявляются к переводам документов на английский или русский язык и какие последствия могут возникнуть при отсутствии нотариального заверения этих переводов?
11. Нажмите «Отправить на модерацию». Заявка на регистрацию будет отправлена на проверку.,Какие действия необходимо выполнить после заполнения всех полей и предоставления необходимых документов для регистрации в RuStore Консоли и какие сроки проверки заявки на модерацию?
При несоответствии правилам RuStore заявка на регистрацию может быть отклонена. В этом случае мы направим вам письмо на адрес электронной почты указанный при регистрации.,Какие причины могут привести к отклонению заявки на регистрацию в RuStore Консоли и какие действия необходимо предпринять в случае получения письма об отказе в регистрации?
Добавление дополнительных разработчиков,Как можно добавить дополнительных разработчиков в аккаунт RuStore Консоли и какие данные необходимо предоставить для каждого из них?
Сотрудник компании VK ID которого был указан при регистрации является владельцем Компании.У каждой Компании может быть только один владелец.,Кто является владельцем компании в RuStore Консоли и какие ограничения существуют для одного владельца компании?
Владелец компании может зарегистрировать только одну Компанию поэтому рекомендуется создать единую корпоративную VK ID (физического лица) учетную запись дляуправления приложениями.,Какие рекомендации можно дать владельцу компании по использованию единой корпоративной VK ID для управления приложениями и какие преимущества предоставляет использование такой учетной записи?
Владелец компании может создавать приложения и назначать/добавлять разработчиков по их VK ID для каждого из приложений.,Какие права и возможности предоставляет владелец компании при создании приложений и назначении разработчиков в RuStore Консоли и какие требования предъявляются к VK ID разработчиков?
Как добавить дополнительного разработчика,Как можно добавить дополнительного разработчика в аккаунт RuStore Консоли и какие данные необходимо предоставить для каждого из них?
Разработчик которого необходимо добавить к управлению приложением авторизуется под своим VK ID (физического лица) в системеRuStore Консоль(производить действия после авторизации в системеRuStore Консоль на этом этапе не нужно).,Как можно добавить дополнительного разработчика в аккаунт RuStore Консоли и какие действия необходимо выполнить после авторизации разработчика?
Разработчик передает свой VK ID владельцу компании в формате «12345678». Как узнать VK ID?,Как можно узнать VK ID разработчика и какие данные необходимо предоставить владельцу компании для добавления разработчика в аккаунт RuStore Консоли?
Владелец компании добавляет VK ID этого разработчика к соответствующему приложению.,Как можно добавить VK ID разработчика к приложению в аккаунте RuStore Консоли и какие права и возможности получает разработчик после добавления его VK ID к приложению?
После добавления разработчику будет открыт доступ к соответствующему приложению.Он может изменять описание и данные о своих приложениях и создавать подготавливать и публиковать новые версии приложений.,Какие права и возможности получает разработчик после добавления его VK ID к приложению в RuStore Консоли и какие действия он может выполнять с описанием и данными о своих приложениях?
У разработчика нет возможности регистрации Компаний создания новых приложений или добавления других разработчиков в приложения.,Какие ограничения существуют для разработчика после добавления его VK ID к приложению в RuStore Консоли и какие действия он не может выполнять без разрешения владельца компании?
Добавление пользователей и выбор роли,Как можно добавить пользователей в аккаунт RuStore Консоли и какие роли они могут выбрать при добавлении?
Вы можете установить ограничение возможных операций с приложениями для сотрудников и назначить им определённые роли. Это позволит чётко настроить варианты взаимодействия с приложениями.Например разрешить сотруднику только публиковать приложения или совершать возвраты.,Какие возможности предоставляет установка ограничений и назначение ролей для пользователей в аккаунте RuStore Консоли и какие операции можно ограничить для сотрудников?
Добавить и назначить роли можно только для тех пользователей которые хотя бы раз авторизовались в RuStore Консоли.,Какие требования предъявляются к пользователям для добавления и назначения ролей в аккаунте RuStore Консоли и какие действия необходимо выполнить для авторизации пользователя?
Как добавить пользователей,Как можно добавить пользователей в аккаунт RuStore Консоли и какие данные необходимо предоставить для каждого из них?
1. Выберите приложение.,Как можно выбрать приложение для работы в RuStore Консоли и какие действия необходимо выполнить для начала работы с выбранным приложением?
2. Перейдите на вкладку «Доступы» в меню слева.,Какие возможности предоставляет вкладка «Доступы» в меню слева и какие действия можно выполнить на этой вкладке для работы с приложением?
3. Нажмите кнопку «Пригласить пользователя» в верхней части экрана.,Какие действия необходимо выполнить для приглашения пользователя к работе с приложением и какие возможности предоставляет кнопка «Пригласить пользователя»?
4. Укажите VK ID пользователя.Как узнать VK ID?,Как можно узнать VK ID пользователя и какие данные необходимо указать при приглашении пользователя к работе с приложением?
5. Выберите роль пользователя. Можно выбрать только один вариант из списка.,Какие роли можно выбрать для пользователя при приглашении к работе с приложением и какие возможности предоставляет каждая из этих ролей?
6. Нажмите кнопку «Пригласить».,Какие действия необходимо выполнить для приглашения пользователя к работе с приложением и какие уведомления будут отправлены пользователю после выполнения этого действия?
Как изменить владельца приложения,Как можно изменить владельца приложения в RuStore Консоли и какие данные необходимо предоставить для этого?
Для передачи приложения другому паблишеру владелец приложения должен направить запрос вслужбу поддержкиsupport@rustore.ru. В письме нужно указатьVK ID текущего и нового владельца приложения а также прикрепить скриншот из RuStore Консоли подтверждающий владение профилем.,Какие требования предъявляются к запросу на передачу приложения другому владельцу и какие документы необходимо предоставить для подтверждения владения профилем?
Мы рекомендуем направить запрос в поддержку минимум за 3 рабочих дня до окончания месяца. Так приложение перейдёт к новому владельцу уже с 1-го числа следующего месяца.,Какие сроки необходимо соблюдать при направлении запроса на передачу приложения другому владельцу и какие последствия могут возникнуть при несвоевременной подаче запроса?
Передача приложений с монетизацией и предоставление отчетов новому владельцу осуществляетсяс 1-го числа месяца следующего за обращением в поддержку.,Как происходит передача приложений с монетизацией и предоставление отчетов новому владельцу и какие условия необходимо соблюсти для передачи таких приложений?
Как редактировать доступы,Как можно редактировать доступы для пользователей в аккаунте RuStore Консоли и какие действия необходимо выполнить для изменения ролей и ограничений доступа?
1. Выберите пользователя.,"Какие действия необходимо выполнить для выбора пользователя, которому необходимо изменить доступы, и какие данные необходимо указать при выборе пользователя?"
2. Нажмите нарядом с ним.,Какие действия необходимо выполнить для перехода к списку допусков пользователя и какие возможности предоставляет этот список?
3. Выберите новую роль.,Какие действия необходимо выполнить для выбора новой роли для пользователя и какие возможности предоставляет каждый из вариантов выбора роли?
4. Нажмите кнопку «Сохранить».,Какие действия необходимо выполнить для сохранения изменений в доступе пользователя и какие уведомления будут отправлены пользователю после выполнения этого действия?
Как удалить пользователя,Как можно удалить пользователя из аккаунта RuStore Консоли и какие действия необходимо выполнить для удаления пользователя?
1. Выберите пользователя.,"Какие действия необходимо выполнить для выбора пользователя, которого необходимо удалить, и какие данные необходимо указать при выборе пользователя?"
2. Нажмите нарядом с ним.,Какие действия необходимо выполнить для перехода к списку допусков пользователя и какие возможности предоставляет этот список?
3. Нажмите кнопку «Удалить».,Какие действия необходимо выполнить для удаления пользователя из аккаунта RuStore Консоли и какие уведомления будут отправлены пользователю после выполнения этого действия?
Будьте внимательны отменить удаление не получится и придётся заново добавлять пользователя в случае ошибочного удаления.,Какие предупреждения необходимо учитывать при удалении пользователя из аккаунта RuStore Консоли и какие последствия могут возникнуть при ошибочном удалении пользователя?
Какие роли можно выбрать,Какие роли можно выбрать для пользователей при добавлении в аккаунт RuStore Консоли и какие возможности предоставляет каждая из этих ролей?
В RuStore возможны пять ролей пользователей:,Какие роли пользователей доступны в RuStore и какие возможности предоставляет каждая из этих ролей?
владелец компании;,Какие права и возможности предоставляет роль владельца компании в RuStore Консоли и какие действия может выполнять владелец компании?
разработчик;,Какие права и возможности предоставляет роль разработчика в RuStore Консоли и какие действия может выполнять разработчик?
финансовый менеджер;,Какие права и возможности предоставляет роль финансового менеджера в RuStore Консоли и какие действия может выполнять финансовый менеджер?
релиз-менеджер;,Какие права и возможности предоставляет роль релиз-менеджера в RuStore Консоли и какие действия может выполнять релиз-менеджер?
специалист поддержки.,Какие права и возможности предоставляет роль специалиста поддержки в RuStore Консоли и какие действия может выполнять специалист поддержки?
Публикация и проверка приложений,Как можно опубликовать приложение в RuStore и какие требования предъявляются к приложению перед публикацией?
После регистрации в системе RuStore Консоль вы можете опубликовать свое приложение.,Какие действия необходимо выполнить для публикации приложения в RuStore Консоли и какие требования предъявляются к приложению перед публикацией?
Сколько стоит выложить приложение в RuStore,Сколько стоит выложить приложение в RuStore и какие расходы необходимо учитывать при публикации приложения?
В RuStore нет оплаты публикации приложений. Вы можете бесплатно публиковать свои приложения как бесплатные так и платные.,Какие преимущества предоставляет публикация приложений в RuStore и какие расходы отсутствуют при публикации приложений в этой платформе?
Декларация разрешений,Как можно оформить декларацию разрешений для приложения в RuStore и какие данные необходимо указать в декларации?
Безопасность пользователей является ключевым критерием для RuStore. Для обеспечения безопасности данных пользователя RuStore проводит проверку всех запрашиваемых разрешений (permissions) каждого приложения. Кроме того в системе реализована функция для получения информации о типах пользовательских данных которые собирает и передаёт загружаемое приложение.,"Какие меры принимает RuStore для обеспечения безопасности данных пользователей и какие функции предоставляет для получения информации о типах пользовательских данных, собираемых и передаваемых приложениями?"
Декларация разрешений и предоставление информации о запрашиваемых данных повышает прозрачность и помогает магазину и пользователям понять как обрабатываются и для каких целей используются пользовательские данные.,Какие преимущества предоставляет декларация разрешений и предоставление информации о запрашиваемых данных для магазина приложений и пользователей и как это влияет на уровень доверия к приложению?
Как декларировать разрешения,Как можно оформить декларацию разрешений для приложения в RuStore и какие данные необходимо указать в декларации?
Для обеспечения безопасности пользователей в консоли RuStore был реализован новый блок “Безопасность данных пользователя” в котором разработчику необходимо заполнить информацию о категориях и типах данных а также предоставить информацию о чувствительных разрешениях. Блок состоит из двух разделов “Чувствительные разрешения” и “Категории и типы данных”.,"Какие требования предъявляются к декларации разрешений и предоставлению информации о категориях и типах данных в RuStore и какие данные необходимо указать в каждом разделе блока ""Безопасность данных пользователя""?"
Раздел “Чувствительные разрешения”отображается только в том случае если в приложении обнаружены чувствительные разрешения и содержит список таких разрешений.,Какие разрешения относятся к чувствительным и как можно определить наличие таких разрешений в приложении?
Если в приложении обнаружены чувствительные разрешения в поле “Обоснование” необходимо указать для чего требуется каждое из них.,"Какие требования предъявляются к обоснованию необходимости чувствительных разрешений в приложении и какие данные необходимо указать в поле ""Обоснование""?"
В разделе“Категории и типы данных” разработчику необходимо отметить все типы данныхоступ к которым запрашивает приложение.,"Какие требования предъявляются к декларации категорий и типов данных в приложении и какие данные необходимо указать в разделе ""Категории и типы данных""?"
Подробная информация о доступных типах данных указана в разделеКатегории и типы данных.,"Какие типы данных доступны для декларации в RuStore и какие данные необходимо указать в разделе ""Категории и типы данных""?"
Раздел “Категории и типы данных” отображается для всех версий приложения независимо от того какой тип разрешения используется.,"Какие требования предъявляются к декларации категорий и типов данных в приложении и какие данные необходимо указать в разделе ""Категории и типы данных"" для всех версий приложения?"
После заполнения всей информации в карточке версии приложения и отправки ее на модерацию команда RuStore выполнит проверку приложения.,Какие действия необходимо выполнить после заполнения декларации разрешений и предоставления информации о категориях и типах данных в RuStore и какие требования предъявляются к проверке приложения командой RuStore?
Перед отправкой приложения на модерацию обязательно проверьте приложение на соответствиетребованиям к приложениям.,Какие требования предъявляются к приложениям перед отправкой на модерацию в RuStore и какие действия необходимо выполнить для проверки соответствия приложения этим требованиям?
В случае если в приложении используются чувствительные разрешениябудет проведена расширенная проверка приложения.,"Какие требования предъявляются к приложениям, использующим чувствительные разрешения, и какие действия необходимо выполнить для прохождения расширенной проверки приложения в RuStore?"
Если приложение не соответствует правилам использования разрешений команда RuStore вправе обратиться к разработчикам за разъяснениями отправив письмо результатами проверки владельцу аккаунта и на контактный адрес электронной почты в аккаунте разработчика.,Какие последствия могут возникнуть в случае несоответствия приложения правилам использования разрешений в RuStore и какие действия необходимо предпринять разработчикам для устранения выявленных нарушений?
Если приложение соответствует Правилам программы для разработчиков заявка будет одобрена и приложение станет доступно для публикации в RuStore.,Какие требования предъявляются к приложениям для их одобрения и публикации в RuStore и какие действия необходимо выполнить для публикации приложения после одобрения заявки?
Категории и типы данных,"Какие категории и типы данных доступны для декларации в RuStore и какие данные необходимо указать в разделе ""Категории и типы данных""?"
Категории и типы данных—это сведения которые помогут пользователям понять каким образом приложение использует их данные икак в нём обеспечивается безопасность.,Какие преимущества предоставляет декларация категорий и типов данных для пользователей и как это влияет на уровень доверия к приложению?
Информация о том какие типы данных приложение может собирать и передавать третьим лицам будет доступна пользователям на странице мобильного приложения RuStore.,"Где можно найти информацию о типах данных, собираемых и передаваемых приложением, и как это может повлиять на решение пользователей о скачивании приложения?"
При загрузке или обновлении приложения необходимо указать все типы пользовательских данных которые собирает и передаёт приложение а именно:,Какие типы пользовательских данных необходимо указать при загрузке или обновлении приложения в RuStore и какие требования предъявляются к декларации этих данных?
все типы пользовательских данных которые собирает и/или передает приложение;,"Какие требования предъявляются к декларации типов пользовательских данных, собираемых и передаваемых приложением, и какие данные необходимо указать в этом разделе?"
все пользовательские данные отправляемые с устройства с помощью библиотек или SDК которые есть в приложении независимо от того кому передается информация — разработчику или третьему лицу;,"Какие требования предъявляются к декларации типов пользовательских данных, собираемых и передаваемых приложением, и какие данные необходимо указать в этом разделе?"
все пользовательские данные которые передаются с сервера разработчика третьему лицу или стороннему приложению на том же устройстве.,"Какие требования предъявляются к декларации типов пользовательских данных, собираемых и передаваемых приложением, и какие данные необходимо указать в этом разделе?"
Категории и типы данных,"Какие категории и типы данных доступны для декларации в RuStore и какие данные необходимо указать в разделе ""Категории и типы данных""?"
Типы разрешений,"Какие типы разрешений доступны для декларации в RuStore и какие данные необходимо указать в разделе ""Чувствительные разрешения""?"
Используемые разрешения проходят первичную проверку после добавления приложения в системуRuStore Консоль.,Какие разрешения проходят первичную проверку после добавления приложения в RuStore и какие требования предъявляются к этим разрешениям?
Декларации подлежат все разрешения отличные от категорииNormalБезопасные») а именноangerous(«Опасные»)cial(«Специальные»)Signature(«Требующие особой подписи»).,Какие разрешения подлежат декларации в RuStore и какие требования предъявляются к этим разрешениям?
Приложения использующие разрешения из категорииNot for use by third-party applications(«Запрещенные»)будут автоматически отклонены при загрузке приложения.,Какие разрешения запрещены для использования в приложениях в RuStore и какие последствия могут возникнуть при использовании таких разрешений?
Разрешения типовDangerousSpecialignatureотносятся к категории чувствительных разрешений.,Какие разрешения относятся к категории чувствительных и какие требования предъявляются к этим разрешениям?
Список запрещенных и чувствительных разрешений представлен в таблице ниже.,Какие разрешения относятся к категории запрещенных и чувствительных и какие требования предъявляются к этим разрешениям?
Уровни разрешений,"Какие уровни разрешений доступны для декларации в RuStore и какие данные необходимо указать в разделе ""Чувствительные разрешения""?"
Требования RuStore предъявляемые к разрешениям приложения не являются более строгими по сравнению с правилами Google Play и сохраняют их терминологию для удобства разработчиков.,Какие требования предъявляются к разрешениям приложений в RuStore и как они соотносятся с правилами Google Play?
Актуальная информация по категориям разрешений доступна по ссылке:,Где можно найти актуальную информацию по категориям разрешений и требованиям к ним в RuStore и как эта информация может помочь разработчикам при создании приложений?
https://developer.android.com/reference/android/Manifest.permission,Какая ссылка предоставляет актуальную информацию по категориям разрешений и требованиям к ним в RuStore и как эта информация может помочь разработчикам при создании приложений?
Публикация приложений,Как можно опубликовать приложение в RuStore и какие требования предъявляются к приложению перед публикацией?
Опубликуйте свое приложение чтобы пользователи могли скачать его из RuStore.,Какие действия необходимо выполнить для публикации приложения в RuStore и какие требования предъявляются к приложению перед публикацией?
Откройте Консоль RuStore.,Какие действия необходимо выполнить для доступа к Консоли RuStore и какие возможности предоставляет этот инструмент для разработчиков?
Перейдите на вкладку «Приложения».,"Какие действия необходимо выполнить для перехода на вкладку ""Приложения"" в Консоли RuStore и какие возможности предоставляет эта вкладка для разработчиков?"
Нажмите «Добавить приложение».,Какие действия необходимо выполнить для добавления нового приложения в Консоли RuStore и какие данные необходимо указать при добавлении приложения?
В открывшемся окне введите название приложения.,Какие данные необходимо указать при добавлении нового приложения в Консоли RuStore и какие требования предъявляются к названию приложения?
Нажмите «Добавить».,Какие действия необходимо выполнить для сохранения данных при добавлении нового приложения в Консоли RuStore и какие уведомления будут отправлены разработчику после выполнения этого действия?
Выберите добавленное приложение.,Какие действия необходимо выполнить для выбора добавленного приложения в Консоли RuStore и какие возможности предоставляет этот выбор?
Нажмите «Загрузить версию».,Какие действия необходимо выполнить для загрузки новой версии приложения в Консоли RuStore и какие данные необходимо указать при загрузке новой версии приложения?
Шаги по загрузке версии будут отличаться в зависимости от типа приложения: «Универсальный» (подходит для телефона планшета и ТВ) или «Только для ТВ». Если вы выбрали «Универсальный» тип приложения дополнительно будет предложено заполнить информацию для ТВ-версии. Если ваше приложение подходит только для ТВ следуйте инструкции на странице Добавление приложения для устройства ТВ.,Какие требования предъявляются к загрузке новой версии приложения в зависимости от типа приложения и какие действия необходимо выполнить для загрузки новой версии приложения для устройства ТВ?
В случае если создано универсальное приложение и загружена версия для мобильных устройств и ТВ последующие версии могут быть только универсальными. Если необходимо добавить новую версию которая подходит только под ТВ создайте раздельные версии приложения: универсальное + ТВ.,Какие требования предъявляются к загрузке новой версии приложения в зависимости от типа приложения и какие действия необходимо выполнить для загрузки новой версии приложения для устройства ТВ?
Загрузка версии приложения,Какие действия необходимо выполнить для загрузки новой версии приложения в Консоли RuStore и какие данные необходимо указать при загрузке новой версии приложения?
RuStore поддерживает загрузку приложений в форматах APK и ААВ.,Какие форматы файлов поддерживаются RuStore для загрузки приложений и какие требования предъявляются к этим форматам?
Требования к загрузке файла APK,Какие требования предъявляются к файлу APK при загрузке в RuStore и какие действия необходимо выполнить для успешной загрузки файла APK?
При загрузке первой версии убедитесь что:,Какие требования предъявляются к первой версии приложения при загрузке в RuStore и какие действия необходимо выполнить для успешной загрузки первой версии приложения?
 размер файла не превышает 25 ГБ;,"Какие требования предъявляются к размеру файла при загрузке первой версии приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если его размер превышает 25 ГБ?"
 файл подписан цифровым сертификатом;,"Какие требования предъявляются к подписи файла при загрузке первой версии приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если он не подписан цифровым сертификатом?"
 имя пакета уникально;,"Какие требования предъявляются к имени пакета при загрузке первой версии приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если имя пакета не уникально?"
 сборка проверена и настроена.,"Какие требования предъявляются к сборке и настройке файла при загрузке первой версии приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если сборка и настройка не выполнены?"
При загрузке второй и последующих версий проверьте что:,"Какие требования предъявляются к загрузке второй и последующих версий приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если сборка и настройка не выполнены?"
 размер файла не превышает 25 ГБ;,"Какие требования предъявляются к размеру файла при загрузке второй и последующих версий приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если его размер превышает 25 ГБ?"
 файл подписан цифровым сертификатом;,"Какие требования предъявляются к подписи файла при загрузке второй и последующих версий приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если он не подписан цифровым сертификатом?"
 подпись соответствует предыдущей;,"Какие требования предъявляются к подписи файла при загрузке второй и последующих версий приложения в RuStore и какие действия необходимо выполнить для успешной загрузки файла, если подпись не соответствует предыдущей?"
